airport_id;icao;airport;city;lat;long;altitude;timezone
IXZ;VOPB;Vir Savarkar International Airport;Port Blair;11.64120007;92.72969818;14;5.5
PNY;VOPC;Pondicherry Airport;Pendicherry;11.968;79.812;134;5.5
RJA;VORY;Rajahmundry Airport;Rajahmundry;17.11039925;81.81819916;151;5.5
SXV;VOSM;Salem Airport;Salem;11.7833004;78.06559753;1008;5.5
TJV;VOTJ;Tanjore Air Force Base;Tanjore;10.72239971;79.10160065;253;5.5
TIR;VOTP;Tirupati Airport;Tirupeti;13.63249969;79.54329681;350;5.5
TRZ;VOTR;Tiruchirapally Civil Airport Airport;Tiruchirappalli;10.76539993;78.70970154;288;5.5
TRV;VOTV;Trivandrum International Airport;Trivandrum;8.48211956;76.92009735;15;5.5
DIU;VA1P;Diu Airport;Diu;20.71310043;70.9210968;31;5.5
HBX;VAHB;Hubli Airport;Hubli;15.36170006;75.0848999;2171;5.5
SHL;VEBI;Shillong Airport;Shillong;25.70359993;91.97869873;2910;5.5
GAU;VEGT;Lokpriya Gopinath Bordoloi International Airport;Guwahati;26.10610008;91.58589935;162;5.5
DMU;VEMR;Dimapur Airport;Dimapur;25.88389969;93.77110291;487;5.5
TEZ;VETZ;Tezpur Airport;Tezpur;26.70910072;92.78469849;240;5.5
GOP;VEGK;Gorakhpur Airport;Gorakhpur;26.73970032;83.4496994;259;5.5
DHM;VIGG;Kangra Airport;Kangra;32.1651001;76.26339722;2525;5.5
NDC;VAND;Nanded Airport;Nanded;19.18330002;77.3167038;1250;5.5
SLV;VISM;Shimla Airport;Shimla;31.0818;77.068001;5072;5.5
MYQ;VOMY;Mysore Airport;Mysore;12.23;76.655833;2349;5.5
IXT;VEPG;Pasighat Airport;Pasighat;28.06609917;95.33560181;477;5.3
HYD;VOHS;Rajiv Gandhi International Airport;Hyderabad;17.23131752;78.42985535;2024;5.5
AIP;VIAX;Adampur Airport;Adampur;31.4338;75.758797;775;5.5
SAG;VASD;Shirdi Airport;Shirdi;19.688611;74.378889;1926;5.5
PYB;VEJP;Jeypore Airport;Jeypore;18.87999916;82.55200195;1952;5.5
